iter	Passed	Remaining
789	6781	1802
790	6788	1793
791	6795	1784
792	6801	1775
793	6809	1766
794	6815	1757
795	6821	1748
796	6828	1739
797	6836	1730
798	6842	1721
799	6849	1712
800	6856	1703
801	6863	1694
802	6870	1685
803	6878	1676
804	6884	1667
805	6889	1658
806	6896	1649
807	6906	1641
808	6914	1632
809	6922	1623
810	6929	1614
811	6936	1605
812	6943	1597
813	6951	1588
814	6958	1579
815	6965	1570
816	6973	1561
817	6980	1553
818	6987	1544
819	6995	1535
820	7002	1526
821	7009	1517
822	7017	1509
823	7024	1500
824	7031	1491
825	7040	1483
826	7047	1474
827	7056	1465
828	7063	1456
829	7069	1447
830	7078	1439
831	7085	1430
832	7092	1421
833	7098	1412
834	7105	1404
835	7112	1395
836	7119	1386
837	7127	1377
838	7134	1369
839	7142	1360
840	7150	1351
841	7158	1343
842	7165	1334
843	7172	1325
844	7180	1317
845	7188	1308
846	7196	1300
847	7204	1291
848	7211	1282
849	7217	1273
850	7226	1265
851	7234	1256
852	7242	1248
853	7252	1239
854	7258	1231
855	7265	1222
856	7273	1213
857	7280	1204
858	7286	1196
859	7293	1187
860	7300	1178
861	7306	1169
862	7313	1161
863	7320	1152
864	7327	1143
865	7333	1134
866	7340	1126
867	7347	1117
868	7354	1108
869	7362	1100
870	7369	1091
871	7376	1082
872	7383	1074
873	7390	1065
874	7397	1056
875	7404	1048
876	7413	1039
877	7420	1031
878	7427	1022
879	7434	1013
880	7440	1005
881	7448	996
882	7454	987
883	7462	979
884	7469	970
885	7476	961
886	7483	953
887	7491	944
888	7497	936
889	7504	927
890	7511	918
891	7517	910
892	7525	901
893	7531	893
894	7539	884
895	7546	875
896	7552	867
897	7558	858
898	7564	849
899	7571	841
900	7577	832
901	7584	824
902	7590	815
903	7596	806
904	7603	798
905	7610	789
906	7616	780
907	7622	772
908	7628	763
909	7634	755
910	7640	746
911	7646	737
912	7652	729
913	7658	720
914	7664	711
915	7669	703
916	7676	694
917	7682	686
918	7688	677
919	7693	669
920	7699	660
921	7705	651
922	7711	643
923	7717	634
924	7724	626
925	7729	617
926	7735	609
927	7742	600
928	7748	592
929	7755	583
930	7761	575
931	7767	566
932	7773	558
933	7779	549
934	7786	541
935	7792	532
936	7798	524
937	7805	515
938	7810	507
939	7817	498
940	7823	490
941	7830	482
942	7836	473
943	7842	465
944	7848	456
945	7855	448
946	7863	440
947	7870	431
948	7877	423
949	7884	414
950	7890	406
951	7896	398
952	7902	389
953	7909	381
954	7916	373
955	7922	364
956	7929	356
957	7935	347
958	7941	339
959	7948	331
960	7953	322
961	7961	314
962	7968	306
963	7974	297
964	7981	289
965	7988	281
966	7995	272
967	8001	264
968	8009	256
969	8017	247
970	8024	239
971	8032	231
972	8038	223
973	8045	214
974	8052	206
975	8059	198
976	8066	189
977	8074	181
978	8081	173
979	8088	165
980	8095	156
981	8102	148
982	8109	140
983	8116	131
984	8122	123
985	8129	115
986	8135	107
987	8142	98
988	8150	90
989	8158	82
990	8165	74
991	8172	65
992	8180	57
993	8186	49
994	8193	41
995	8199	32
996	8205	24
997	8211	16
998	8217	8
999	8223	0
